,course_title,paid,price,subscribers,reviews,lectures,level,duration,subject
394,Simple things you must know before start FOREX (OFFER),True,200,1053,20,15,Beginner Level,0.7333333329999999,Business Finance
2929,Ruby on Rails 4---A Test-Driven Approach,True,100,1518,55,122,Beginner Level,19.0,Web Development
1640,How to Draw Cute Cartoon Characters,True,55,4080,522,26,All Levels,2.0,Graphic Design
1077,Start-up financial modeling for non-finance professionals,True,20,11,0,19,All Levels,4.0,Business Finance
2236,Advanced Tuba Studies - Become a Master of the Tuba!​,True,50,173,0,63,All Levels,5.0,Musical Instruments
2216,Blues Accelerator - 21 Days to Blues Guitar Mastery,True,50,78,6,45,Beginner Level,7.0,Musical Instruments
2792,Wordpress for Non-Technical People,True,150,2346,10,65,Beginner Level,4.5,Web Development
2551,Complete React JS web developer with ES6 - Build 10 projects,True,200,952,121,75,Beginner Level,12.0,Web Development
302,Awaken the Accountant in You | Master the Accounting Basics,True,35,1135,10,16,Beginner Level,1.5,Business Finance
2129,Présentation du Banjo Ténor,True,20,18,4,31,Beginner Level,1.5,Musical Instruments
1781,Step by Step Gif animation in Photoshop,True,20,518,2,17,All Levels,1.0,Graphic Design
232,Trading Binary Options for Fun and Profit,True,20,1574,24,46,All Levels,2.0,Business Finance
661,Learn Accounting by Specific Examples - Part 1,True,50,306,0,5,All Levels,0.6333333329999999,Business Finance
376,Foundation of Options Trading and Investing,True,20,6374,21,14,All Levels,1.0,Business Finance
1171,Investimento em Ações para Leigos,True,20,201,46,19,Beginner Level,2.5,Business Finance
573,"Basics of Fixed Income Valuation, CFA Level I 2017 Prep",True,20,4,0,14,Beginner Level,3.5,Business Finance
259,Financial Statement Review 101:  How to Find Errors,True,30,5,2,15,Beginner Level,2.0,Business Finance
485,What You Should Know to Become a Trader,True,125,17,2,14,All Levels,1.5,Business Finance
1430,History of Art and Design from XV to XXI century,True,20,319,11,35,All Levels,2.0,Graphic Design
1714,Mashup - Transform a scanned sketch into a digital painting,True,20,57,3,16,Intermediate Level,2.0,Graphic Design
2467,Aprender a tocar la batería sin salir de casa,True,50,10,0,23,All Levels,4.0,Musical Instruments
1060,Finanzielle Unabhängigkeit-1: Erste Schritte zur Million,True,20,465,51,28,Beginner Level,1.0,Business Finance
1933,Chugging - it don't mean a thing if it ain't got that swing!,True,200,382,21,25,All Levels,2.5,Musical Instruments
3044,PHP Laravel 5:Creating a CRUD application,True,45,511,12,7,All Levels,0.55,Web Development
2803,PHP for Beginners: How to Build an E-Commerce Store,True,100,5117,463,138,All Levels,14.5,Web Development
1380,Photoshop - Tratamento de pele profissional,True,100,50,5,16,Intermediate Level,1.5,Graphic Design
428,How To Crowdfund,True,30,43,6,17,All Levels,1.5,Business Finance
2643,The Ultimate Vue JS 2 Developers Course,True,195,1703,292,178,All Levels,13.0,Web Development
563,Ultimate Stock Market Investing: Learn How to Value Stocks,True,50,1519,40,46,All Levels,3.5,Business Finance
1153,Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified,True,40,500,45,34,Beginner Level,4.0,Business Finance
1232,Adobe InDesign CC Advanced,True,30,114,24,50,Expert Level,3.5,Graphic Design
335,How to Become an Accountant from scratch!,True,40,1169,7,15,Beginner Level,3.0,Business Finance
78,Trading for Beginners - Intermediate Level,True,150,3979,40,39,Beginner Level,5.0,Business Finance
1291,Become an InDesign Pro in 10 Skills,True,105,1079,172,35,Beginner Level,5.0,Graphic Design
1756,Adobe Illustrator | Master in 3D,True,25,445,4,14,All Levels,0.533333333,Graphic Design
1829,Cajon Step-by-Step: Beginner > Intermediate > Advanced,True,35,73,9,45,All Levels,3.0,Musical Instruments
1554,Photoshop: Real World Learning,True,20,9,0,56,All Levels,5.0,Graphic Design
1816,Mike G's Beginner Drum Course: Part 1,True,35,515,14,20,Beginner Level,3.0,Musical Instruments
334,Stock Technical Analysis with Python,True,50,409,35,46,All Levels,8.0,Business Finance
2033,"Blues Guitar Lessons for Beginners: Chords, Rhythm and Lead",True,95,2558,19,16,Beginner Level,3.0,Musical Instruments
2494,Introduction to Web Development: HTML,True,20,26800,333,55,Beginner Level,3.0,Web Development
913,Finanzas personales: Logrando la Libertad Financiera,True,30,27,5,12,Beginner Level,2.0,Business Finance
839,Essential Finance For Managers,True,25,663,10,79,All Levels,5.5,Business Finance
3455,HTML5 and CSS for Beginner To Expert,True,20,1732,15,48,All Levels,4.5,Web Development
3503,XML :basics for beginners,True,40,1062,12,11,All Levels,0.65,Web Development
407,Professional Risk Manager (PRM) Certification: Level 2,True,50,41,1,55,All Levels,7.5,Business Finance
125,Stock market Investing Encyclopedia: How to invest in stocks,True,200,3143,11,39,Intermediate Level,3.0,Business Finance
1662,Typography: Learn the Basics to Build a Solid Foundation,True,35,5850,19,34,Beginner Level,1.0,Graphic Design
1684,Essential Skills for Designers - Working with Type,True,45,219,11,25,All Levels,2.0,Graphic Design
1927,Play Piano 4: Improvise on popular song Yesterday chords,True,50,1018,4,63,All Levels,1.5,Musical Instruments
3575,Learn Spring Security 4 Basics - Hands On,True,95,216,28,16,Beginner Level,2.0,Web Development
890,The Cuckoo Strategy to get European Funding,True,160,0,0,6,All Levels,1.0,Business Finance
3384,Canvas image Creator HTML5 JavaScript project from Scratch,True,100,2195,10,35,Intermediate Level,3.5,Web Development
1194,Learn to trade Chart Patterns,True,20,75,8,23,Intermediate Level,2.0,Business Finance
1418,Master Adobe Photoshop Lightroom CC - From Beginner to Advan,True,50,1468,190,141,Beginner Level,8.0,Graphic Design
811,Double Entry Bookkeeping,True,50,440,17,10,Beginner Level,1.0,Business Finance
1720,Zombie Apocalypse Photoshop Actions,True,50,12,1,15,All Levels,1.5,Graphic Design
2420,Learn Monster GODJ,False,0,991,29,12,Beginner Level,1.0,Musical Instruments
2445,Drum Lessons For Beginners,True,50,70,2,17,Beginner Level,1.5,Musical Instruments
1453,Complete Digital Painting Training with Corel Painter,True,30,4353,23,57,All Levels,3.5,Graphic Design
1549,Adobe Illustrator CC Beginner,True,30,2,0,37,Beginner Level,4.0,Graphic Design
1486,Clipping Masks & Shaped images in Adobe Photoshop CC,True,90,1905,12,14,All Levels,0.7333333329999999,Graphic Design
843,188% Profit in 1Year - Forex ALGO Robot Trading no indicator,True,120,357,71,20,All Levels,2.0,Business Finance
1786,FullPage: The Complete Guide to Flat Websites,True,20,817,14,13,All Levels,0.6333333329999999,Graphic Design
277,Mit Finanzwissen zu besserem Unternehmertum,True,50,49,3,23,Beginner Level,3.0,Business Finance
1559,Adobe Photoshop CC for Photographers Advanced,True,30,1,0,43,Expert Level,2.5,Graphic Design
63,Hedge and Mutual Fund Careers: The Complete Guide,True,200,3255,340,102,All Levels,8.5,Business Finance
2481,Projects in HTML5,True,60,8777,206,75,Intermediate Level,15.5,Web Development
2469,Aprende todos los secretos de la salsa para piano,True,50,7,0,17,All Levels,3.0,Musical Instruments
2136,Aprende a tocar el saxofón como siempre has querido,True,20,8,1,26,All Levels,3.5,Musical Instruments
2651,HTML and HTML5 For Beginners 2016,True,200,563,178,32,All Levels,3.0,Web Development
571,Technical Analysis 101: Ten Primary Candlestick Reversals,True,95,1741,85,84,All Levels,7.0,Business Finance
2124,Enseñando música: mejora tus clases de instrumento ,True,30,111,3,18,Beginner Level,1.5,Musical Instruments
2452,"Learn Guitar The Easy Way, It's Faster",True,25,57,2,16,Beginner Level,4.5,Musical Instruments
2506,React JS and Redux - Mastering Web Apps,True,60,16829,820,77,All Levels,5.0,Web Development
1371,Business Card and Letterhead Design in Adobe Illustrator,True,200,797,30,37,All Levels,2.0,Graphic Design
1162,Hedge Fund Trading Systems For Stocks - Part One,True,200,52,8,21,All Levels,1.5,Business Finance
2510,The Complete HTML and CSS Course For Beginners,True,85,733,104,50,All Levels,3.0,Web Development
1713,Design your own Social Media Logo Icons in Adobe Illustrator,True,50,2424,29,15,Beginner Level,1.5,Graphic Design
364,TRADING TACTICS,True,145,951,25,62,All Levels,6.0,Business Finance
2492,Learn by Doing: Vue JS 2.0 the Right Way,True,95,1087,220,32,Intermediate Level,3.5,Web Development
1831,Instant Harmonica - play the gorgeous Skye Boat Song now!,True,20,122,9,11,Beginner Level,0.6333333329999999,Musical Instruments
2053,Darbuka Drumming: Learn how to play the Darbuka Dounbek,False,0,1094,45,11,Beginner Level,1.0,Musical Instruments
361,Forex Trading vs Option Trading,True,95,1776,14,29,All Levels,2.5,Business Finance
1036,Guía práctica para comprar acciones en la Bolsa de USA,False,0,4876,210,36,Intermediate Level,4.5,Business Finance
1609,Practical Font Design,True,50,229,23,26,Intermediate Level,7.5,Graphic Design
880,Psicología del trading,True,20,1,1,6,All Levels,0.6,Business Finance
2045,The Professional Bass Masterclass,True,200,1449,136,88,All Levels,7.0,Musical Instruments
850,Budget preparation for an EU project proposal,True,50,18,4,5,Intermediate Level,1.0,Business Finance
612,How to read a Profit & Loss Account and Balance Sheet,True,20,49,10,13,All Levels,2.0,Business Finance
3256,The Complete ASP.NET MVC 5 Course,True,190,20652,6357,138,All Levels,7.5,Web Development
3478,Create an E-commerce website without any coding,True,20,1393,40,9,All Levels,0.5166666670000001,Web Development
1355,Design & Create Vector Graphics With Inkscape 2016,True,200,2091,11,26,Beginner Level,2.5,Graphic Design
1666,Photoshop CS 6 ile Fotoğraf İşlemenin Temelleri,True,20,86,10,78,Beginner Level,6.0,Graphic Design
307,Finding an Unlimited Amount of Investors,True,80,1187,6,6,All Levels,0.7,Business Finance
1800,Playing Piano:  Popular Pieces Vol. II,True,150,1472,4,24,Beginner Level,1.5,Musical Instruments
2361,Flute Lessons For Beginners,True,95,3,0,41,Beginner Level,2.5,Musical Instruments
1365,The Design Theory Blitz,True,35,142,35,9,Beginner Level,0.7,Graphic Design
1631,Apple Watch Design,True,20,9847,24,35,All Levels,4.0,Graphic Design
33,Mastering High Probability Iron Condor Options Trading,True,200,1030,11,22,All Levels,2.0,Business Finance
68,How I Make Consistent Returns Trading Options,True,200,2310,162,26,All Levels,3.5,Business Finance
285,Análise de Concessão de Crédito,True,20,31,11,20,All Levels,10.5,Business Finance
2360,Drumming 101: The Essential Elements,True,50,4,0,17,Beginner Level,1.5,Musical Instruments
1093,Investiere in Tax Liens-Hohe Zinsen gesetzl. festgeschrieben,True,20,59,11,7,All Levels,1.5,Business Finance
3401,Learn HTML5 At Your Own Pace. Ideal for Beginners,True,50,3026,60,67,All Levels,7.0,Web Development
2485,Angular and Firebase - Build a Web App with Typescript,True,150,1966,359,65,All Levels,5.0,Web Development
2560,"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",True,20,5125,395,53,All Levels,7.0,Web Development
1372,A Complete Guide to Successful Freelance Logo Design Career,True,145,2745,61,67,All Levels,8.5,Graphic Design
3599,Login and Registration from Scratch with PHP and MySQL,True,20,1128,77,36,Intermediate Level,2.0,Web Development
2527,Reactive JS:  Are you ready for the next big paradigm shift?,True,60,2097,401,28,Intermediate Level,5.5,Web Development
1875,"Learn to Play Fernando Sor's 'Study in B minor"",https://www.udemy.com/study-in-b-minor/,true,115,1403,5,9,Intermediate Level,43 mins,2014-01-27T20:58:16Z
398746,Piano: The Chord Based System - Learn To Play As The Pros Do""",True,115,595,20,33,All Levels,2.0,Musical Instruments
1235,Photoshop - Creación de Efectos 2,True,30,0,0,9,Beginner Level,1.0,Graphic Design
683,An Introduction to Management of Portfolios (MoP),True,20,117,15,6,Beginner Level,1.5,Business Finance
996,Learn To Trade The Forex Naked Price Action Acapulco Trade,True,70,288,9,13,Intermediate Level,1.0,Business Finance
281,Curso de Trading práctico basado en casos reales,True,20,44,6,55,All Levels,10.0,Business Finance
809,Learn Call Options and Put Options - Introduction to Options,True,60,1017,74,20,Beginner Level,3.0,Business Finance
2399,Learn Pirates of the Caribbean by Ear on the Piano,True,20,0,0,6,All Levels,0.533333333,Musical Instruments
3602,Core Concepts in HTML 5,True,75,1532,19,23,Beginner Level,2.0,Web Development
992,Trade Show Samurai,True,95,32,7,7,All Levels,0.5166666670000001,Business Finance
3607,Creating Custom Web Maps,True,50,208,48,29,Intermediate Level,2.0,Web Development
931,Bitesize Bookkeeping for busy people,True,20,9,0,13,Beginner Level,1.5,Business Finance
1524,Bestseller!! Learn Illustrator CC in 1 Hour,True,200,4449,100,9,Beginner Level,1.5,Graphic Design
199,The Complete Position Trading Course: Position Trading Stock,True,45,1311,36,5,All Levels,1.0,Business Finance
653,Option Trading for Rookies: Make & Manage Profitable Trades,True,95,507,19,59,All Levels,2.0,Business Finance
932,Do Your Own Accounts,True,35,42,2,13,All Levels,1.5,Business Finance
888,How to Invest Using ETFs from Former Wall Street Trader,True,200,0,0,10,All Levels,2.0,Business Finance
2152,Arpeggios for Guitar made Easy! Dominate the Fretboard,True,65,26,5,23,All Levels,3.0,Musical Instruments
1945,Playing Piano: Scales and Arpeggios Vol.I : Major keys,True,50,2358,3,26,Beginner Level,1.0,Musical Instruments
1071,Accounting - Basic Costing ,True,40,108,2,37,Beginner Level,3.5,Business Finance
1538,Create Professional Character Designs in Photoshop,True,20,228,11,21,Intermediate Level,4.0,Graphic Design
2569,RxJs & Reactive Programming Angular Masterclass - Angular 4,True,150,1301,179,80,All Levels,7.5,Web Development
2269,Learn Piano: The Basics of Keyboards,True,20,113,0,24,Beginner Level,1.5,Musical Instruments
1472,Photoshop: Creando elemental de aire,True,20,0,0,5,Beginner Level,1.0,Graphic Design
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!,True,50,5354,24,23,All Levels,1.5,Business Finance
3388,Learn how to quickly build websites using Wordpress,False,0,15715,406,28,All Levels,3.5,Web Development
3451,"Installing Wordpress 4 - Installation, Registrars & Hosting",True,45,6117,188,28,Beginner Level,2.5,Web Development
1960,Beginner Guitar Lessons - Your Complete Foundation Course,True,60,293,30,162,Beginner Level,18.5,Musical Instruments
3572,Building Web Apps Using Flask and Neo4j,True,50,166,21,37,All Levels,2.5,Web Development
2682,Creating Animations using HTML5 Canvas,True,25,4010,17,12,All Levels,1.0,Web Development
3090,The All-In-One Web Development Course,True,85,538,13,113,All Levels,18.5,Web Development
730,Cashflow Management for Small Businesses: A How To Guide,True,25,2914,11,5,All Levels,0.6166666670000001,Business Finance
2700,Become a Certified Web Developer,True,100,26673,1090,185,All Levels,12.0,Web Development
1509,الدورة الشاملة illustrator from zero to hero,True,150,155,40,158,All Levels,30.0,Graphic Design
2884,Web Security: Common Vulnerabilities And Their Mitigation,True,50,1547,30,56,All Levels,8.0,Web Development
2285,Learn to Play Irish Fiddle,True,60,112,7,63,Beginner Level,5.5,Musical Instruments
3082,Learn jQuery: An In-depth Course For Beginners,True,50,7014,95,62,All Levels,4.5,Web Development
2039,The Complete Piano Course - Master The Piano,True,95,4982,276,240,All Levels,23.0,Musical Instruments
619,Start Now: A Rescue Plan for Retirement Late Savers,True,150,11,1,15,All Levels,0.65,Business Finance
729,Excel 4 Accounting & Bookkeeping - Master Lookup Functions,True,35,2638,140,12,All Levels,1.0,Business Finance
3120,PHP MVC Framework CodeIgniter Tutorial for Beginners Project,True,100,3701,508,125,All Levels,10.5,Web Development
3247,JavaScript: Understanding the Weird Parts,True,175,79612,16976,85,All Levels,11.5,Web Development
1023,Learn Financial Modeling from Scratch - Part 2,True,50,2,1,27,All Levels,3.5,Business Finance
1415,The Art of Icon Design: Create Custom Flat Icon Designs,True,90,778,2,24,All Levels,1.5,Graphic Design
221,Risk in Forex Transactions - for CA / CS / CFA exams,True,20,2235,3,9,All Levels,1.0,Business Finance
1182,Kostenrechnung lernen leicht gemacht,True,40,612,46,72,Beginner Level,3.0,Business Finance
2090,Blues Master - Advanced Techniques Piano Course,True,75,7,2,14,All Levels,1.0,Musical Instruments
3142,Angular 2 + Rails 5 Bootcamp,True,150,1967,372,60,Intermediate Level,9.0,Web Development
1003,Sell like a Pro: Insider Secrets of Successful Selling!,True,115,12,1,25,All Levels,2.5,Business Finance
795,Hedge Fund Trading Systems Part Two - Stocks & ETFs,True,200,56,10,23,Expert Level,2.5,Business Finance
2885,PHP for Beginners,True,40,2626,95,135,Beginner Level,6.0,Web Development
1129,Trading Robot Forex Programs in Your Sleep in Live Examples!,True,200,1125,11,18,Expert Level,1.5,Business Finance
2500,Ultimate Web Developer Course Build 10 Websites from Scratch,True,200,9359,110,402,Beginner Level,32.5,Web Development
905,Credit Repair from a Financial Institution,True,20,157,13,9,All Levels,2.5,Business Finance
793,Cost Accounting Basics (Professional Course Level),True,20,1777,11,23,Beginner Level,1.0,Business Finance
3264,CSS Tutorial For Beginners: Style Your Wordpress Templates,True,35,1049,22,47,Beginner Level,3.5,Web Development
2698,Angular 4: From Theory to Practice & FREE E-Book,True,200,4375,622,129,Intermediate Level,15.5,Web Development
2561,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,True,75,43285,525,24,All Levels,4.0,Web Development
790,Trade Forex 13 Patterns - Golden Ratios Secret Revealed,True,200,554,63,44,All Levels,4.0,Business Finance
2150,Instant Harmonica - play the great Irish tune Molly Malone!,True,20,420,2,13,Beginner Level,1.0,Musical Instruments
1985,Guitar Super System Level 2,True,50,4192,128,34,Expert Level,1.5,Musical Instruments
1177,Introducción al trading de opciones,True,100,1573,122,43,Beginner Level,5.5,Business Finance
3265,HTML5 And CSS3 - Build Modern Responsive Websites,True,175,109,17,69,All Levels,9.5,Web Development
918,Le basi del Trading,True,200,22,5,18,All Levels,3.5,Business Finance
3611,Modern E-Commerce Store In php & mysqli With Bootstrap,True,50,240,45,358,All Levels,66.5,Web Development
3450,Learn JavaScript From Scratch:Become Top Rated Web Developer,True,65,2570,17,87,All Levels,5.0,Web Development
3291,Learn PHP Fundamentals From Scratch,False,0,48650,1236,9,Beginner Level,2.0,Web Development
1185,Step by step guide to understand how business perform,True,20,788,3,15,Intermediate Level,0.6333333329999999,Business Finance
219,Stock Options Trades Using Interactive Brokers,True,95,1580,26,14,Intermediate Level,1.0,Business Finance
1069,Managerial Accounting - The Ultimate Beginner Course!,True,100,11,0,121,Beginner Level,11.0,Business Finance
2670,AJAX Development,True,20,7867,147,23,All Levels,3.0,Web Development
1544,Create an Accelerated Learning Flowchart with Watercolors,True,200,668,5,16,All Levels,2.5,Graphic Design
2549,HTML 5: How I made websites in HTML5,True,135,15064,237,15,All Levels,1.5,Web Development
3496,All in one HTML CSS and JQuery,True,20,3444,35,16,All Levels,3.0,Web Development
557,Technical Trading and Investing Made Easy,True,40,217,7,27,Intermediate Level,1.5,Business Finance
2428,Curso de ejercicios técnicos al piano Vol.1,True,60,186,9,24,All Levels,1.5,Musical Instruments
3144,Redux in Angular (2 and 4+),True,70,909,16,13,Intermediate Level,1.5,Web Development
1358,Photoshop CC 2017 for Beginners: Master Photoshop Essentials,True,195,389,20,43,Beginner Level,3.0,Graphic Design
3319,AngularJS Authentication: Secure Your App with Auth0,False,0,21689,1080,13,All Levels,1.0,Web Development
2932,JavaScript from Beginner to Advanced,True,195,395,18,57,All Levels,17.0,Web Development
2874,Create a PHP Contact Form in Bootstrap,True,20,2238,65,12,All Levels,1.0,Web Development
1663,Master Manga Studio 5: Bonus Drawing and Painting,True,165,2325,155,61,All Levels,8.0,Graphic Design
949,Public Speaking: You Can Give Great Financial Presentations,True,20,916,6,23,All Levels,6.5,Business Finance
8,Options Trading 3 : Advanced Stock Profit and Success Method,True,195,5172,34,38,Expert Level,2.5,Business Finance
1432,Adobe Illustrator CC for beginners,True,20,270,28,118,Beginner Level,8.0,Graphic Design
3029,How to Build Chat Bots: From Beginner to Intermediate,True,140,2814,107,35,All Levels,2.0,Web Development
1270,Expert Guide : Mastering Types feature in illustrator !,True,190,1552,11,27,All Levels,2.5,Graphic Design
1780,Learn print production from start to finish,True,35,494,6,16,All Levels,1.0,Graphic Design
824,Introduction to Small Business Accounting Training Tutorial,True,25,168,9,75,Beginner Level,3.5,Business Finance
1175,カードゲームでカンタンに理解する！経済とお金のキホン,True,20,103,3,18,Beginner Level,1.0,Business Finance
2188,Super-Curso de Guitarra Práctico Para Principiantes,True,85,228,26,215,Beginner Level,10.5,Musical Instruments
2737,Angular 2 From The Ground Up,True,30,1737,471,87,All Levels,11.5,Web Development
775,Forex Elite Trading,True,85,623,7,22,All Levels,6.0,Business Finance
2722,Learn to Build Websites using Twitter Bootstrap,False,0,15134,523,12,All Levels,2.5,Web Development
2917,Bootstrap 3 Beginners: Create a Professional Landing Page,True,20,3271,278,54,Beginner Level,2.5,Web Development
1244,Ferramentas Visuais,False,0,817,42,18,Beginner Level,5.0,Graphic Design
1233,Intro to Photoshop for Merch by Amazon,True,25,331,24,9,Beginner Level,1.0,Graphic Design
1219,Graphic Design Masterclass: Learn Graphic Design in Projects,True,95,6858,382,41,Beginner Level,3.5,Graphic Design
999,Learn to Pick the Right Stock Broker Account,True,40,1102,3,14,Beginner Level,0.566666667,Business Finance
1582,Affinity Designer - making seamless patterns,True,20,35,13,11,All Levels,1.0,Graphic Design
660,"Bitcoins - Past, Present, Future",True,20,373,3,14,Beginner Level,1.5,Business Finance
3449,Introduction to HTML,False,0,8371,212,18,Beginner Level,1.5,Web Development
684,CFA Level I Workshop 1: Ethics and Quantitative Methods,True,20,147,4,5,All Levels,1.0,Business Finance
